Mileage,X_local,Y_local,Z_crown
155.0,4089.7551752697764,5127.484352508465,216.87
156.0,4088.7808424154478,5127.259240338701,216.87345161290324
157.0,4087.806509561119,5127.034128168937,216.87690322580647
158.0,4086.8321767067905,5126.809015999173,216.88035483870968
159.0,4085.857843852462,5126.583903829409,216.8838064516129
160.0,4084.8835109981333,5126.358791659645,216.88725806451615
161.0,4083.9091781438046,5126.133679489882,216.89070967741935
162.0,4082.934845289476,5125.908567320117,216.8941612903226
163.0,4081.9605124351474,5125.683455150353,216.89761290322582
164.0,4080.9861795808188,5125.458342980589,216.90106451612903
165.0,4080.01184672649,5125.233230810825,216.90451612903226
166.0,4079.0375138721615,5125.008118641062,216.9079677419355
167.0,4078.063181017833,5124.783006471297,216.91141935483873
168.0,4077.0888481635043,5124.557894301533,216.91487096774193
169.0,4076.1145153091757,5124.33278213177,216.91832258064517
170.0,4075.140182454847,5124.107669962005,216.9217741935484
171.0,4074.1658496005184,5123.882557792242,216.9252258064516
172.0,4073.19151674619,5123.657445622478,216.92867741935484
173.0,4072.217183891861,5123.4323334527135,216.93212903225808
174.0,4071.2428510375325,5123.20722128295,216.9355806451613
175.0,4070.268518183204,5122.982109113185,216.93903225806451
176.0,4069.2941853288753,5122.756996943422,216.94248387096775
177.0,4068.3198524745467,5122.531884773658,216.94593548387098
178.0,4067.345519620218,5122.3067726038935,216.9493870967742
179.0,4066.3711867658894,5122.08166043413,216.95283870967742
180.0,4065.396853911561,5121.856548264366,216.95629032258066
181.0,4064.422521057232,5121.631436094602,216.9597419354839
182.0,4063.4481882029036,5121.406323924838,216.9631935483871
183.0,4062.473855348575,5121.181211755074,216.96664516129033
184.0,4061.4995224942463,5120.95609958531,216.97009677419356
185.0,4060.5251896399177,5120.730987415546,216.97354838709677
186.0,4059.550856785713,5120.505875245246,216.977
187.0,4058.576523931653,5120.280763074319,216.98045161290324
188.0,4057.602191077593,5120.055650903392,216.98390322580647
189.0,4056.627858223533,5119.830538732466,216.98735483870968
190.0,4055.653525369473,5119.605426561539,216.9908064516129
191.0,4054.679192515413,5119.3803143906125,216.99425806451615
192.0,4053.704859661353,5119.155202219686,216.99770967741935
193.0,4052.7305268072932,5118.93009004876,217.00116129032259
194.0,4051.75619395321,5118.704977877932,217.00461290322582
195.0,4050.7818610988816,5118.479865708168,217.00806451612905
196.0,4049.807528244553,5118.254753538404,217.01151612903226
197.0,4048.8331953902243,5118.02964136864,217.0149677419355
198.0,4047.8588625358957,5117.8045291988765,217.01841935483873
199.0,4046.884529681567,5117.579417029112,217.02187096774193
200.0,4045.9101968272385,5117.354304859348,217.02532258064517
201.0,4044.93586397291,5117.129192689585,217.0287741935484
202.0,4043.961531118581,5116.90408051982,217.0322258064516
203.0,4042.9871982642526,5116.6789683500565,217.03567741935484
204.0,4042.012865409924,5116.453856180293,217.03912903225807
205.0,4041.0385325555953,5116.228744010528,217.0425806451613
206.0,4040.0641997012667,5116.003631840765,217.0460322580645
207.0,4039.089866846938,5115.778519671,217.04948387096775
208.0,4038.1155339926095,5115.5534075012365,217.05293548387098
209.0,4037.141201138281,5115.328295331473,217.0563870967742
210.0,4036.166868283952,5115.103183161708,217.05983870967742
211.0,4035.1925354296236,5114.878070991945,217.06329032258066
212.0,4034.218202575295,5114.652958822181,217.0667419354839
